"","terme.terme","tf.idf","log.entropy","lsa","lsa.tfidf","lsa.entropy"
"1369","ELE1409","ELE6429","ELE1409","ELE2400","ELE2400","ELE2400"
"1376","ELE2400","R-110","ELE2400","ELE4203","ELE6429","ELE1001"
"1370","ELE1600A","GBM2214","ELE1600A","CIV7911","CP110","ELE1409"
"1355","CY240","ELE6215","CY240","ELE1001","GBM4214","ELE2200"
"1339","CP310","GBM6103A","CP310","CP110","GBM2214","CP120"
"1395","ELE4203","ICM4310","ELE4203","ELE2305","AR310","CIV7911"
"1438","ELE6503","GLQ3105","ELE6503","ELE1409","AE3100","CP110"
"1397","ELE4304","ICM4321","ELE4304","ELE2200","ELE4705","ELE4203"
"1367","ELE1402","GLQ1115","ELE1402","CY240","ELE6215","PL050"
"2232","PL050","AE4165","PL050","ELE6429","GBM6103A","ELE6503"
