id,User,Cours,Rang,Methode,Note
1,2,INF2010,1,terme.terme,5
2,2,INF2010,2,terme.terme,4
3,2,INF2010,3,terme.terme,5
4,2,INF2010,4,terme.terme,5
5,2,INF2010,5,terme.terme,2
6,2,INF2010,1,tf.idf,5
7,2,INF2010,2,tf.idf,5
8,2,INF2010,3,tf.idf,4
9,2,INF2010,4,tf.idf,5
10,2,INF2010,5,tf.idf,1
11,2,INF2010,1,log.entropy,5
12,2,INF2010,2,log.entropy,4
13,2,INF2010,3,log.entropy,5
14,2,INF2010,4,log.entropy,5
15,2,INF2010,5,log.entropy,2
16,2,INF2010,1,lsa,2
17,2,INF2010,2,lsa,5
18,2,INF2010,3,lsa,5
19,2,INF2010,4,lsa,1
20,2,INF2010,5,lsa,5
21,2,INF2010,1,lsa.tfidf,5
22,2,INF2010,2,lsa.tfidf,5
23,2,INF2010,3,lsa.tfidf,1
24,2,INF2010,4,lsa.tfidf,4
25,2,INF2010,5,lsa.tfidf,4
26,2,INF2010,1,lsa.ent,5
27,2,INF2010,2,lsa.ent,2
28,2,INF2010,3,lsa.ent,5
29,2,INF2010,4,lsa.ent,1
30,2,INF2010,5,lsa.ent,5
31,2,AR320,1,terme.terme,5
32,2,AR320,2,terme.terme,5
33,2,AR320,3,terme.terme,5
34,2,AR320,4,terme.terme,5
35,2,AR320,5,terme.terme,5
36,2,AR320,1,tf.idf,5
37,2,AR320,2,tf.idf,5
38,2,AR320,3,tf.idf,5
39,2,AR320,4,tf.idf,1
40,2,AR320,5,tf.idf,2
41,2,AR320,1,log.entropy,5
42,2,AR320,2,log.entropy,5
43,2,AR320,3,log.entropy,5
44,2,AR320,4,log.entropy,5
45,2,AR320,5,log.entropy,5
46,2,AR320,1,lsa,5
47,2,AR320,2,lsa,5
48,2,AR320,3,lsa,5
49,2,AR320,4,lsa,5
50,2,AR320,5,lsa,5
51,2,AR320,1,lsa.tfidf,5
52,2,AR320,2,lsa.tfidf,5
53,2,AR320,3,lsa.tfidf,5
54,2,AR320,4,lsa.tfidf,5
55,2,AR320,5,lsa.tfidf,5
56,2,AR320,1,lsa.ent,5
57,2,AR320,2,lsa.ent,5
58,2,AR320,3,lsa.ent,5
59,2,AR320,4,lsa.ent,5
60,2,AR320,5,lsa.ent,5
61,2,IND4704,1,terme.terme,4
62,2,IND4704,2,terme.terme,5
63,2,IND4704,3,terme.terme,2
64,2,IND4704,4,terme.terme,2
65,2,IND4704,5,terme.terme,5
66,2,IND4704,1,tf.idf,3
67,2,IND4704,2,tf.idf,5
68,2,IND4704,3,tf.idf,1
69,2,IND4704,4,tf.idf,1
70,2,IND4704,5,tf.idf,2
71,2,IND4704,1,log.entropy,4
72,2,IND4704,2,log.entropy,5
73,2,IND4704,3,log.entropy,2
74,2,IND4704,4,log.entropy,2
75,2,IND4704,5,log.entropy,5
76,2,IND4704,1,lsa,1
77,2,IND4704,2,lsa,3
78,2,IND4704,3,lsa,3
79,2,IND4704,4,lsa,4
80,2,IND4704,5,lsa,2
81,2,IND4704,1,lsa.tfidf,5
82,2,IND4704,2,lsa.tfidf,3
83,2,IND4704,3,lsa.tfidf,5
84,2,IND4704,4,lsa.tfidf,5
85,2,IND4704,5,lsa.tfidf,5
86,2,IND4704,1,lsa.ent,3
87,2,IND4704,2,lsa.ent,5
88,2,IND4704,3,lsa.ent,3
89,2,IND4704,4,lsa.ent,5
90,2,IND4704,5,lsa.ent,5
91,1,MTH1006,1,terme.terme,5
92,1,MTH1006,2,terme.terme,5
93,1,MTH1006,3,terme.terme,2
94,1,MTH1006,4,terme.terme,4
95,1,MTH1006,5,terme.terme,5
96,1,MTH1006,1,tf.idf,2
97,1,MTH1006,2,tf.idf,5
98,1,MTH1006,3,tf.idf,5
99,1,MTH1006,4,tf.idf,5
100,1,MTH1006,5,tf.idf,1
101,1,MTH1006,1,log.entropy,5
102,1,MTH1006,2,log.entropy,5
103,1,MTH1006,3,log.entropy,2
104,1,MTH1006,4,log.entropy,4
105,1,MTH1006,5,log.entropy,5
106,1,MTH1006,1,lsa,5
107,1,MTH1006,2,lsa,5
108,1,MTH1006,3,lsa,5
109,1,MTH1006,4,lsa,5
110,1,MTH1006,5,lsa,5
111,1,MTH1006,1,lsa.tfidf,5
112,1,MTH1006,2,lsa.tfidf,2
113,1,MTH1006,3,lsa.tfidf,1
114,1,MTH1006,4,lsa.tfidf,1
115,1,MTH1006,5,lsa.tfidf,4
116,1,MTH1006,1,lsa.ent,5
117,1,MTH1006,2,lsa.ent,5
118,1,MTH1006,3,lsa.ent,5
119,1,MTH1006,4,lsa.ent,5
120,1,MTH1006,5,lsa.ent,2
121,1,MEC1210,1,terme.terme,4
122,1,MEC1210,2,terme.terme,4
123,1,MEC1210,3,terme.terme,5
124,1,MEC1210,4,terme.terme,5
125,1,MEC1210,5,terme.terme,5
126,1,MEC1210,1,tf.idf,3
127,1,MEC1210,2,tf.idf,1
128,1,MEC1210,3,tf.idf,1
129,1,MEC1210,4,tf.idf,1
130,1,MEC1210,5,tf.idf,2
131,1,MEC1210,1,log.entropy,4
132,1,MEC1210,2,log.entropy,4
133,1,MEC1210,3,log.entropy,5
134,1,MEC1210,4,log.entropy,5
135,1,MEC1210,5,log.entropy,5
136,1,MEC1210,1,lsa,4
137,1,MEC1210,2,lsa,4
138,1,MEC1210,3,lsa,5
139,1,MEC1210,4,lsa,5
140,1,MEC1210,5,lsa,5
141,1,MEC1210,1,lsa.tfidf,5
142,1,MEC1210,2,lsa.tfidf,5
143,1,MEC1210,3,lsa.tfidf,4
144,1,MEC1210,4,lsa.tfidf,5
145,1,MEC1210,5,lsa.tfidf,5
146,1,MEC1210,1,lsa.ent,4
147,1,MEC1210,2,lsa.ent,4
148,1,MEC1210,3,lsa.ent,5
149,1,MEC1210,4,lsa.ent,5
150,1,MEC1210,5,lsa.ent,5
151,1,MEC2115,1,terme.terme,4
152,1,MEC2115,2,terme.terme,5
153,1,MEC2115,3,terme.terme,5
154,1,MEC2115,4,terme.terme,3
155,1,MEC2115,5,terme.terme,1
156,1,MEC2115,1,tf.idf,4
157,1,MEC2115,2,tf.idf,3
158,1,MEC2115,3,tf.idf,1
159,1,MEC2115,4,tf.idf,3
160,1,MEC2115,5,tf.idf,1
161,1,MEC2115,1,log.entropy,4
162,1,MEC2115,2,log.entropy,5
163,1,MEC2115,3,log.entropy,5
164,1,MEC2115,4,log.entropy,3
165,1,MEC2115,5,log.entropy,1
166,1,MEC2115,1,lsa,4
167,1,MEC2115,2,lsa,5
168,1,MEC2115,3,lsa,1
169,1,MEC2115,4,lsa,5
170,1,MEC2115,5,lsa,5
171,1,MEC2115,1,lsa.tfidf,1
172,1,MEC2115,2,lsa.tfidf,1
173,1,MEC2115,3,lsa.tfidf,2
174,1,MEC2115,4,lsa.tfidf,2
175,1,MEC2115,5,lsa.tfidf,1
176,1,MEC2115,1,lsa.ent,4
177,1,MEC2115,2,lsa.ent,2
178,1,MEC2115,3,lsa.ent,3
179,1,MEC2115,4,lsa.ent,5
180,1,MEC2115,5,lsa.ent,1
